, etot, ebond, eang, etor, evdw, ehb_cho, ehb_chn,ehb_chc, ecoul, density
50 , -28081.19085 , -1383.28425853 , 13.35619987 , 5.5959212 , 238.57237114 , -8.03060669 , -0.46935177 , -0.16210974 , -33.79630316 , 1.8313575085185785
51 , -28080.88193 , -1382.07509873 , 12.70240896 , 5.71391852 , 238.18486202 , -8.9320696 , -0.4893493 , -0.14916159 , -33.30963709 , 1.7581622770619525
52 , -28080.86534 , -1382.34122391 , 13.50418943 , 5.87508611 , 237.8025857 , -8.45716406 , -0.49189651 , -0.16811599 , -33.33254458 , 1.7664262367499488
53 , -28081.39184 , -1382.22507582 , 12.69874602 , 5.93077319 , 237.80145802 , -9.25751297 , -0.63680751 , -0.16263215 , -33.40166568 , 1.790140278124348
54 , -28081.21325 , -1383.15060116 , 13.58727664 , 5.77558618 , 238.50181732 , -7.58221531 , -0.43366822 , -0.19348012 , -33.44544547 , 1.7581839510404014
55 , -28081.9935 , -1382.83134735 , 13.22602311 , 5.63992743 , 238.30264224 , -7.60379769 , -0.50707321 , -0.15436121 , -33.53836309 , 1.8169415611855717
56 , -28081.65035 , -1381.17355698 , 12.31460104 , 5.91211764 , 237.22942975 , -8.87395913 , -0.5687768 , -0.16429879 , -32.88312006 , 1.838489922985511
57 , -28081.49494 , -1381.61968848 , 12.53045191 , 6.05822117 , 237.97999133 , -9.45579909 , -0.53759107 , -0.15262858 , -34.11462674 , 1.7623407826050923
58 , -28081.4094 , -1381.4861286 , 12.33748886 , 5.82292962 , 237.63230807 , -9.30051105 , -0.5175561 , -0.15233061 , -33.59684943 , 1.8103411880816174
59 , -28081.89361 , -1381.35348653 , 12.24938284 , 5.8746613 , 237.27819404 , -9.45208022 , -0.65214933 , -0.15980935 , -32.39869979 , 1.8612833893658922
60 , -28081.39807 , -1382.1960845 , 12.68673844 , 5.92305983 , 237.7786262 , -9.24910766 , -0.64165668 , -0.16241057 , -33.39035798 , 1.7971878719157524
61 , -28081.70881 , -1383.07275879 , 13.39154339 , 5.48659751 , 238.81771104 , -8.08070624 , -0.44813591 , -0.15445883 , -34.02496976 , 1.782651251237148
62 , -28081.42242 , -1382.19377813 , 12.68887796 , 5.92506102 , 237.77931902 , -9.24287609 , -0.64018147 , -0.16260538 , -33.38419463 , 1.7899911802739985
63 , -28081.93315 , -1381.34606314 , 12.24541498 , 5.87608773 , 237.2656724 , -9.41168653 , -0.65015538 , -0.15845361 , -32.37762505 , 1.854898749517917
64 , -28081.9835 , -1382.88320632 , 13.2597644 , 5.6323084 , 238.36340247 , -7.67448178 , -0.50264152 , -0.15510279 , -33.57912264 , 1.8168026957911743
65 , -28081.47274 , -1381.65150173 , 12.55553255 , 6.06001855 , 237.9925115 , -9.47217859 , -0.53684823 , -0.1526296 , -34.13285114 , 1.77504216020281
66 , -28081.43952 , -1381.61436133 , 12.33690952 , 5.83797066 , 237.73259619 , -9.28403062 , -0.52357572 , -0.15133471 , -33.55595253 , 1.7959477384999325
67 , -28081.22931 , -1380.82095026 , 12.26165465 , 5.8082165 , 237.17164199 , -8.76520095 , -0.68892735 , -0.16099136 , -32.20885996 , 1.7662342337478718
68 , -28081.31858 , -1382.85321734 , 13.55033204 , 5.7223389 , 238.43595158 , -8.59428952 , -0.44023801 , -0.15446937 , -34.7033211 , 1.7886770630426327
69 , -28080.85796 , -1382.53872758 , 13.14384009 , 5.82382886 , 238.20430619 , -9.28269124 , -0.50253266 , -0.15719698 , -33.58896963 , 1.7875366166249016
70 , -28080.60494 , -1382.33716267 , 13.26791938 , 5.87971859 , 237.8778439 , -7.52574507 , -0.57511708 , -0.1514645 , -33.74916446 , 1.6756915691250216
71 , -28081.05986 , -1382.31723843 , 13.01190961 , 5.77300641 , 238.24877189 , -8.35747975 , -0.69133271 , -0.23246888 , -33.11683521 , 1.7436571022764842
72 , -28081.05254 , -1383.09094978 , 13.43231693 , 5.44736119 , 238.93583053 , -8.27974965 , -0.67221433 , -0.21269143 , -32.47115576 , 1.765423329710769
73 , -28080.39193 , -1382.96632765 , 13.23137483 , 5.84453069 , 238.46901251 , -7.91367439 , -0.47356611 , -0.16737004 , -32.93393119 , 1.717675956948053
74 , -28081.53224 , -1382.75314623 , 13.34048826 , 5.62873041 , 238.36857565 , -8.90041056 , -0.47424484 , -0.16517713 , -33.82518923 , 1.7701053029677356
75 , -28080.98354 , -1382.95851933 , 13.57998839 , 5.72118982 , 238.74192143 , -7.85161139 , -0.52019867 , -0.19430094 , -33.34407702 , 1.7214024301811486
76 , -28080.64129 , -1382.13578932 , 12.96713537 , 5.73278556 , 238.24398339 , -9.13848009 , -0.60277991 , -0.15332095 , -34.24826857 , 1.7354834278755427
77 , -28081.21582 , -1382.43357323 , 13.06104857 , 6.08326274 , 238.12126648 , -8.63923 , -0.44755364 , -0.19757675 , -33.66382783 , 1.7388555406649948
78 , -28080.76778 , -1382.4822792 , 13.14807168 , 5.91387022 , 237.88608328 , -8.55072337 , -0.48066607 , -0.16054076 , -33.20781007 , 1.7745248070466801
79 , -28080.83154 , -1382.38909205 , 13.05358466 , 5.86039634 , 238.14597139 , -9.48636679 , -0.49124228 , -0.15584255 , -33.87805156 , 1.7750610821520216
80 , -28080.79706 , -1383.30759407 , 13.39489228 , 5.8052297 , 238.84019108 , -7.44201672 , -0.46958806 , -0.15902701 , -33.2458929 , 1.7369292362272617
81 , -28081.15177 , -1381.52124553 , 12.51434404 , 5.63243993 , 237.56241157 , -7.90878894 , -0.47070821 , -0.15248815 , -32.71259066 , 1.7519308817702315
82 , -28081.85777 , -1383.43273243 , 13.57366278 , 5.76726392 , 238.7933668 , -8.42304978 , -0.56628766 , -0.15270271 , -34.28270017 , 1.8182853729697865
83 , -28081.63873 , -1381.82086131 , 12.63722913 , 5.98811896 , 237.53259856 , -9.47287049 , -0.65982197 , -0.14762856 , -34.83423552 , 1.809330830366209
84 , -28081.67021 , -1381.87719274 , 12.63942676 , 6.0029982 , 237.57387912 , -9.49661255 , -0.6738549 , -0.14788147 , -34.78370042 , 1.835256370535232
85 , -28081.6711 , -1381.87047935 , 12.64586602 , 5.99454438 , 237.57078925 , -9.5015822 , -0.67410197 , -0.14775258 , -34.80771336 , 1.8336494184844812
86 , -28082.00845 , -1381.1055521 , 12.14351413 , 5.86749741 , 237.12716335 , -9.36809904 , -0.65801591 , -0.15826862 , -32.31853437 , 1.8423013500526522
87 , -28081.99616 , -1381.05194651 , 12.14103351 , 5.8632694 , 237.0846724 , -9.22362709 , -0.64913715 , -0.15539549 , -32.29113367 , 1.8399230316982491
88 , -28082.12677 , -1383.27472744 , 13.72018678 , 5.49851519 , 238.92729007 , -10.82821463 , -0.71307335 , -0.15142232 , -35.90631252 , 1.8476885579586513
89 , -28081.55701 , -1380.86125193 , 12.11764315 , 6.00782664 , 236.85501177 , -8.47151734 , -0.55006848 , -0.1541062 , -32.19675025 , 1.7826033340824168
90 , -28081.9972 , -1380.94984325 , 12.12075849 , 5.83399384 , 237.05889862 , -9.18453152 , -0.6359504 , -0.15358917 , -32.34118607 , 1.837902504776227
91 , -28080.87659 , -1382.16699322 , 12.9927659 , 5.41196164 , 237.79769655 , -8.0860705 , -0.55157137 , -0.27546573 , -32.54893502 , 1.8066578732350684
92 , -28082.02744 , -1381.3581684 , 12.24858533 , 5.88649931 , 237.24171526 , -9.26668319 , -0.64654903 , -0.15598193 , -32.31475072 , 1.8661382971768425
93 , -28081.90912 , -1381.10378053 , 12.15395495 , 5.86470946 , 237.12418494 , -9.35425165 , -0.65345497 , -0.15807897 , -32.3239696 , 1.8450887212836438
94 , -28081.52724 , -1381.33169341 , 12.3528842 , 5.8753305 , 237.40312765 , -8.25112883 , -0.52631154 , -0.1687455 , -32.81896056 , 1.7689104468645533
95 , -28081.98635 , -1381.10241289 , 12.16014039 , 5.85189896 , 237.14321818 , -9.20370437 , -0.636393 , -0.15437092 , -32.33345724 , 1.8357422616075307
96 , -28081.90505 , -1381.16781344 , 12.18433477 , 5.8580453 , 237.16878064 , -9.3711188 , -0.65073905 , -0.15764594 , -32.33718954 , 1.8503253377268993
97 , -28081.89503 , -1380.90959924 , 12.01561123 , 6.16311334 , 236.6179847 , -9.67389634 , -0.59120514 , -0.1524744 , -32.63547874 , 1.8148274038022438
98 , -28082.06644 , -1381.25917636 , 12.20870463 , 5.86897415 , 237.23030118 , -9.35461927 , -0.64932928 , -0.15751734 , -32.34819837 , 1.8495839773773541
99 , -28080.91218 , -1382.62113155 , 12.98506459 , 5.70399384 , 237.94811028 , -8.47154006 , -0.53973606 , -0.3002116 , -33.29249505 , 1.8226682810847412
100 , -28081.34378 , -1382.66692091 , 13.16210783 , 5.56596452 , 238.39733812 , -9.70790367 , -0.53781432 , -0.16602555 , -34.11719196 , 1.795526889687283
101 , -28081.97975 , -1383.29495444 , 13.73676816 , 5.49849739 , 238.9365035 , -10.85141264 , -0.70222458 , -0.15167184 , -35.92202861 , 1.855264519609618
102 , -28081.15738 , -1382.80978963 , 13.13802355 , 5.90700332 , 237.97873917 , -8.841354 , -0.46828166 , -0.15113125 , -34.15939614 , 1.7817111137947257
103 , -28082.01077 , -1381.19654727 , 12.19111855 , 5.85731172 , 237.1909829 , -9.36896222 , -0.65027314 , -0.15724025 , -32.33786747 , 1.8554052319535144
104 , -28081.03325 , -1383.29742102 , 13.38879392 , 5.60428195 , 238.57125434 , -8.05221625 , -0.47776817 , -0.16017574 , -33.86978043 , 1.8114776189684962
105 , -28081.31882 , -1382.66142415 , 13.16000476 , 5.56683484 , 238.38849796 , -9.69484634 , -0.53763185 , -0.16623568 , -34.10500183 , 1.7889485405556687
106 , -28081.4418 , -1383.05348852 , 13.16341118 , 5.53486145 , 238.83664969 , -9.26954815 , -0.49413061 , -0.1530321 , -34.37002638 , 1.8062996650588985
107 , -28081.00935 , -1380.77589113 , 12.07961914 , 6.10163116 , 236.56585373 , -8.51921554 , -0.72070075 , -0.15431978 , -31.81552508 , 1.7773297856393468
108 , -28081.0175 , -1380.77206278 , 12.08161019 , 6.09622944 , 236.56980019 , -8.51098388 , -0.72223583 , -0.15409527 , -31.82142597 , 1.761414093207678
109 , -28080.21856 , -1383.63275166 , 13.74797118 , 5.61274339 , 238.78999455 , -8.41023867 , -0.46696514 , -0.27852937 , -32.67244107 , 1.7705525801434048
110 , -28080.22281 , -1383.42429136 , 13.5384599 , 5.75318497 , 238.69898828 , -8.35474987 , -0.46501934 , -0.24559785 , -32.67316579 , 1.784276380687141
111 , -28080.69565 , -1383.41502651 , 13.41723642 , 5.56338022 , 238.75893956 , -8.32991473 , -0.57462038 , -0.39991183 , -32.32419618 , 1.8080934757760354
112 , -28080.62924 , -1383.07231538 , 13.79495581 , 5.58112551 , 238.61801627 , -9.32176172 , -0.72192585 , -0.26130371 , -33.54429841 , 1.8166533186789329
113 , -28081.13881 , -1381.43290423 , 12.55732287 , 5.79523928 , 237.21349486 , -8.54722359 , -0.57908838 , -0.163179 , -32.69795616 , 1.7839048229944583
114 , -28081.0742 , -1382.65849312 , 13.15807516 , 5.56918714 , 238.38313712 , -9.68909252 , -0.53950293 , -0.16640021 , -34.09428997 , 1.7819266367100557
115 , -28081.11051 , -1382.70994266 , 13.15238141 , 5.55211616 , 238.45406197 , -9.64345001 , -0.52963318 , -0.16436891 , -34.06864723 , 1.7786277346111086
116 , -28080.69801 , -1383.59297932 , 14.01040505 , 5.70896257 , 238.65509221 , -8.17153384 , -0.6871545 , -0.25497959 , -32.3290446 , 1.8159346426265677
117 , -28080.22457 , -1383.01699965 , 13.28351319 , 5.68959915 , 238.40306694 , -9.06716948 , -0.6178101 , -0.18195022 , -32.89569683 , 1.7178087548526364
118 , -28080.33446 , -1383.0450297 , 13.28341037 , 5.6945201 , 238.43059256 , -9.08868911 , -0.61940659 , -0.18196694 , -32.90119946 , 1.7108679450860855
119 , -28081.16136 , -1383.25066308 , 13.34596692 , 5.59352379 , 238.54880348 , -8.01895873 , -0.46946321 , -0.16211619 , -33.79426536 , 1.830778701838765
120 , -28081.17135 , -1382.30620863 , 13.09504699 , 5.5884614 , 238.36791755 , -9.22582244 , -0.8915307 , -0.15122538 , -32.91163684 , 1.7464046090248446
121 , -28080.7082 , -1381.44332082 , 12.55737256 , 5.69911082 , 237.68668887 , -8.06956913 , -0.49878851 , -0.29710561 , -32.25827968 , 1.7439476772426996
