, etot, eang, etor, evdw, ehb, ecoul, density
115 , -14040.62119 , 4.85292134 , 7.76681161 , 102.13651453 , -0.30035528 , -16.9147422 , 1.7797557733769638
116 , -14040.66917 , 4.85783053 , 7.77475519 , 102.14204085 , -0.29924053 , -16.91426747 , 1.7756562814971895
117 , -14040.59899 , 4.83680194 , 7.7855632 , 102.12564678 , -0.30144078 , -16.91156953 , 1.776850883428136
118 , -14040.67933 , 4.85591248 , 7.76438869 , 102.14141023 , -0.30012614 , -16.9120802 , 1.772046609286698
119 , -14040.34445 , 5.12940719 , 7.42447266 , 102.22076814 , -0.23001369 , -16.17339965 , 1.8219944213164465
120 , -14040.6294 , 4.85477597 , 7.77366367 , 102.13634258 , -0.29962316 , -16.9165492 , 1.78066812533373
121 , -14040.63032 , 4.85599851 , 7.75542232 , 102.14389484 , -0.30042222 , -16.90707573 , 1.7732726005429518
122 , -14040.33172 , 5.17005778 , 7.43058331 , 102.32822498 , -0.23548014 , -16.18584761 , 1.8076678198660763
123 , -14040.39507 , 4.78079366 , 7.65794302 , 101.93867152 , -0.28175865 , -16.572726 , 1.8016902491420241
124 , -14040.6342 , 4.85355942 , 7.76746159 , 102.13795105 , -0.3003636 , -16.91481035 , 1.7937507623139375
125 , -14040.54187 , 4.8548407 , 7.77061724 , 102.14227313 , -0.29996321 , -16.91692848 , 1.7854649037193497
126 , -14040.61831 , 4.8566202 , 7.77707504 , 102.13882678 , -0.29911186 , -16.91563339 , 1.7946248244145537
127 , -14040.66226 , 4.85833081 , 7.77574485 , 102.14331339 , -0.29913809 , -16.91398385 , 1.7708102865810524
128 , -14040.31154 , 4.78599489 , 7.6719185 , 101.7842446 , -0.23797551 , -16.17593668 , 1.8145028647095067
129 , -14040.37179 , 4.77706986 , 7.65980069 , 101.92920359 , -0.28244292 , -16.55989234 , 1.8065390445594238
130 , -14040.38586 , 4.78070154 , 7.65797853 , 101.93917018 , -0.2821601 , -16.5706492 , 1.8171145736809395
131 , -14040.41924 , 4.7799736 , 7.65809336 , 101.93617888 , -0.28220874 , -16.56607474 , 1.81055626847389
132 , -14040.46508 , 4.77895553 , 7.65886875 , 101.93461623 , -0.28264763 , -16.56228642 , 1.7945989845862302
133 , -14040.33409 , 5.00414216 , 7.58579626 , 102.05458101 , -0.22887278 , -16.24134343 , 1.7981321566672663
134 , -14040.76962 , 5.25282569 , 7.57378021 , 102.56890711 , -0.26312166 , -16.81637198 , 1.7823222478087395
