, etot, eang, etor, evdw, ehb, ecoul, density
110 , -574.25594264 , 5.13558294 , 7.65484847 , 102.03224081 , -0.28804798 , -17.20069243 , 1.9595456310350305
111 , -574.31314634 , 4.84636128 , 7.7748706 , 102.143048 , -0.30351606 , -16.91460912 , 1.8861596747759553
112 , -573.91611599 , 5.0005778 , 7.57564909 , 102.03572308 , -0.22803533 , -16.19365846 , 1.9155994421487044
113 , -574.33362083 , 4.85707751 , 7.77349272 , 102.14224607 , -0.29942512 , -16.9144682 , 1.8927620323909515
114 , -574.33337269 , 4.85572503 , 7.77373272 , 102.13489782 , -0.29945734 , -16.91519647 , 1.8927597515057186
115 , -574.33002314 , 4.85292134 , 7.76681161 , 102.13651453 , -0.30035528 , -16.9147422 , 1.8930614659609304
116 , -574.33385006 , 4.85783053 , 7.77475519 , 102.14204085 , -0.29924053 , -16.91426747 , 1.8925752425354567
117 , -574.32439785 , 4.83680194 , 7.7855632 , 102.12564678 , -0.30144078 , -16.91156953 , 1.8880088013784522
118 , -574.33119564 , 4.85591248 , 7.76438869 , 102.14141023 , -0.30012614 , -16.9120802 , 1.8929359014919973
119 , -573.90945286 , 5.12940719 , 7.42447266 , 102.22076814 , -0.23001369 , -16.17339965 , 1.9105409515918412
120 , -574.33298761 , 4.85477597 , 7.77366367 , 102.13634258 , -0.29962316 , -16.9165492 , 1.892786026717701
121 , -574.32126719 , 4.85599851 , 7.75542232 , 102.14389484 , -0.30042222 , -16.90707573 , 1.8927800062287286
122 , -573.94417081 , 5.17005778 , 7.43058331 , 102.32822498 , -0.23548014 , -16.18584761 , 1.8876768115764824
123 , -574.25783201 , 4.78079366 , 7.65794302 , 101.93867152 , -0.28175865 , -16.572726 , 1.8675362280940022
124 , -574.33019212 , 4.85355942 , 7.76746159 , 102.13795105 , -0.3003636 , -16.91481035 , 1.89315164272436
125 , -574.33203784 , 4.8548407 , 7.77061724 , 102.14227313 , -0.29996321 , -16.91692848 , 1.8928923096093382
126 , -574.33387549 , 4.8566202 , 7.77707504 , 102.13882678 , -0.29911186 , -16.91563339 , 1.8923945677640293
127 , -574.33392849 , 4.85833081 , 7.77574485 , 102.14331339 , -0.29913809 , -16.91398385 , 1.8924845894025495
128 , -574.06342395 , 4.78599489 , 7.6719185 , 101.7842446 , -0.23797551 , -16.17593668 , 1.8788063838170224
129 , -574.2574863 , 4.77706986 , 7.65980069 , 101.92920359 , -0.28244292 , -16.55989234 , 1.8688929068656286
130 , -574.25785567 , 4.78070154 , 7.65797853 , 101.93917018 , -0.2821601 , -16.5706492 , 1.8673227449234986
131 , -574.25751772 , 4.7799736 , 7.65809336 , 101.93617888 , -0.28220874 , -16.56607474 , 1.868229030411619
132 , -574.25755407 , 4.77895553 , 7.65886875 , 101.93461623 , -0.28264763 , -16.56228642 , 1.8682770439406227
133 , -573.91478151 , 5.00414216 , 7.58579626 , 102.05458101 , -0.22887278 , -16.24134343 , 1.8970868494017201
